Exercise,Set,Target Reps,Target Weight,Notes,Actual Reps,Actual Weight (lb)
"Dips","1","8","10","10lb dumbbell between legs","3","10"
"Dips","2","8","10","10lb dumbbell between legs","8","10"
"Dips","3","8","10","10lb dumbbell between legs","8","10"
"Barbell Supinated Grip Bent Over Row","1","5","155","","5","155"
"Barbell Supinated Grip Bent Over Row","2","5","155","","5","155"
"Barbell Supinated Grip Bent Over Row","3","5","155","","5","155"
"Barbell Pause Bench Press","1","8","135","","8","135"
"Barbell Pause Bench Press","2","8","135","","8","135"
"Barbell Pause Bench Press","3","8","135","","8","135"
"Seated Cable Row","1","8","130","","8","130"
"Seated Cable Row","2","8","130","","8","130"
"Seated Cable Row","3","8","130","","8","130"
"Side Lying Incline Lateral Dumbbell Raise","1","12","12","","12","12"
"Side Lying Incline Lateral Dumbbell Raise","2","12","12","","12","12"
"Side Lying Incline Lateral Dumbbell Raise","3","12","12","","12","12"
"Hanging Leg Raises","1","12","0","","12","0"
"Hanging Leg Raises","2","12","0","","12","0"
"Hanging Leg Raises","3","12","0","","12","0"
